axis,bucket,descriptor,descriptor_gender,descriptor_preference,noun,plural_noun,noun_gender,noun_phrase,plural_noun_phrase,noun_phrase_type
body_type,eye_color,brown-eyed,(none),no_data,grandma,grandmas,female,a brown-eyed grandma,brown-eyed grandmas,descriptor_noun
body_type,eye_color,brown-eyed,(none),no_data,grandmother,grandmothers,female,a brown-eyed grandmother,brown-eyed grandmothers,descriptor_noun
body_type,eye_color,brown-eyed,(none),no_data,grandpa,grandpas,male,a brown-eyed grandpa,brown-eyed grandpas,descriptor_noun
body_type,eye_color,brown-eyed,(none),no_data,grandparent,grandparents,neutral,a brown-eyed grandparent,brown-eyed grandparents,descriptor_noun
body_type,eye_color,brown-eyed,(none),no_data,guy,guys,male,a brown-eyed guy,brown-eyed guys,descriptor_noun
body_type,eye_color,brown-eyed,(none),no_data,husband,husbands,male,a brown-eyed husband,brown-eyed husbands,descriptor_noun
body_type,eye_color,brown-eyed,(none),no_data,individual,individuals,neutral,a brown-eyed individual,brown-eyed individuals,descriptor_noun
body_type,eye_color,brown-eyed,(none),no_data,kid,kids,neutral,a brown-eyed kid,brown-eyed kids,descriptor_noun
body_type,eye_color,brown-eyed,(none),no_data,lady,ladies,female,a brown-eyed lady,brown-eyed ladies,descriptor_noun
body_type,eye_color,brown-eyed,(none),no_data,man,men,male,a brown-eyed man,brown-eyed men,descriptor_noun
body_type,eye_color,brown-eyed,(none),no_data,mom,moms,female,a brown-eyed mom,brown-eyed moms,descriptor_noun
body_type,eye_color,brown-eyed,(none),no_data,mother,mothers,female,a brown-eyed mother,brown-eyed mothers,descriptor_noun
body_type,eye_color,brown-eyed,(none),no_data,parent,parents,neutral,a brown-eyed parent,brown-eyed parents,descriptor_noun
body_type,eye_color,brown-eyed,(none),no_data,person,people,neutral,a brown-eyed person,brown-eyed people,descriptor_noun
body_type,eye_color,brown-eyed,(none),no_data,sibling,siblings,neutral,a brown-eyed sibling,brown-eyed siblings,descriptor_noun
body_type,eye_color,brown-eyed,(none),no_data,sister,sisters,female,a brown-eyed sister,brown-eyed sisters,descriptor_noun
body_type,eye_color,brown-eyed,(none),no_data,son,sons,male,a brown-eyed son,brown-eyed sons,descriptor_noun
body_type,eye_color,brown-eyed,(none),no_data,spouse,spouses,neutral,a brown-eyed spouse,brown-eyed spouses,descriptor_noun
body_type,eye_color,brown-eyed,(none),no_data,veteran,veterans,neutral,a brown-eyed veteran,brown-eyed veterans,descriptor_noun
body_type,eye_color,brown-eyed,(none),no_data,wife,wives,female,a brown-eyed wife,brown-eyed wives,descriptor_noun
body_type,eye_color,brown-eyed,(none),no_data,woman,women,female,a brown-eyed woman,brown-eyed women,descriptor_noun
body_type,hair,blonde,(none),reviewed,(none),(none),(none),blonde,blonde,descriptor
body_type,hair,blonde,(none),reviewed,boy,boys,male,a blonde boy,blonde boys,descriptor_noun
body_type,hair,blonde,(none),reviewed,bro,bros,male,a blonde bro,blonde bros,descriptor_noun
body_type,hair,blonde,(none),reviewed,brother,brothers,male,a blonde brother,blonde brothers,descriptor_noun
body_type,hair,blonde,(none),reviewed,child,children,neutral,a blonde child,blonde children,descriptor_noun
body_type,hair,blonde,(none),reviewed,dad,dads,male,a blonde dad,blonde dads,descriptor_noun
body_type,hair,blonde,(none),reviewed,daughter,daughters,female,a blonde daughter,blonde daughters,descriptor_noun
body_type,hair,blonde,(none),reviewed,father,fathers,male,a blonde father,blonde fathers,descriptor_noun
body_type,hair,blonde,(none),reviewed,girl,girls,female,a blonde girl,blonde girls,descriptor_noun
body_type,hair,blonde,(none),reviewed,grandfather,grandfathers,male,a blonde grandfather,blonde grandfathers,descriptor_noun
body_type,hair,blonde,(none),reviewed,grandma,grandmas,female,a blonde grandma,blonde grandmas,descriptor_noun
body_type,hair,blonde,(none),reviewed,grandmother,grandmothers,female,a blonde grandmother,blonde grandmothers,descriptor_noun
body_type,hair,blonde,(none),reviewed,grandpa,grandpas,male,a blonde grandpa,blonde grandpas,descriptor_noun
body_type,hair,blonde,(none),reviewed,grandparent,grandparents,neutral,a blonde grandparent,blonde grandparents,descriptor_noun
body_type,hair,blonde,(none),reviewed,guy,guys,male,a blonde guy,blonde guys,descriptor_noun
body_type,hair,blonde,(none),reviewed,husband,husbands,male,a blonde husband,blonde husbands,descriptor_noun
body_type,hair,blonde,(none),reviewed,individual,individuals,neutral,a blonde individual,blonde individuals,descriptor_noun
body_type,hair,blonde,(none),reviewed,kid,kids,neutral,a blonde kid,blonde kids,descriptor_noun
body_type,hair,blonde,(none),reviewed,lady,ladies,female,a blonde lady,blonde ladies,descriptor_noun
body_type,hair,blonde,(none),reviewed,man,men,male,a blonde man,blonde men,descriptor_noun
body_type,hair,blonde,(none),reviewed,mom,moms,female,a blonde mom,blonde moms,descriptor_noun
body_type,hair,blonde,(none),reviewed,mother,mothers,female,a blonde mother,blonde mothers,descriptor_noun
body_type,hair,blonde,(none),reviewed,parent,parents,neutral,a blonde parent,blonde parents,descriptor_noun
body_type,hair,blonde,(none),reviewed,person,people,neutral,a blonde person,blonde people,descriptor_noun
body_type,hair,blonde,(none),reviewed,sibling,siblings,neutral,a blonde sibling,blonde siblings,descriptor_noun
body_type,hair,blonde,(none),reviewed,sister,sisters,female,a blonde sister,blonde sisters,descriptor_noun
body_type,hair,blonde,(none),reviewed,son,sons,male,a blonde son,blonde sons,descriptor_noun
body_type,hair,blonde,(none),reviewed,spouse,spouses,neutral,a blonde spouse,blonde spouses,descriptor_noun
body_type,hair,blonde,(none),reviewed,veteran,veterans,neutral,a blonde veteran,blonde veterans,descriptor_noun
body_type,hair,blonde,(none),reviewed,wife,wives,female,a blonde wife,blonde wives,descriptor_noun
body_type,hair,blonde,(none),reviewed,woman,women,female,a blonde woman,blonde women,descriptor_noun
body_type,hair,curly-haired,(none),reviewed,(none),(none),(none),curly-haired,curly-haired,descriptor
body_type,hair,curly-haired,(none),reviewed,boy,boys,male,a curly-haired boy,curly-haired boys,descriptor_noun
body_type,hair,curly-haired,(none),reviewed,bro,bros,male,a curly-haired bro,curly-haired bros,descriptor_noun
body_type,hair,curly-haired,(none),reviewed,brother,brothers,male,a curly-haired brother,curly-haired brothers,descriptor_noun
body_type,hair,curly-haired,(none),reviewed,child,children,neutral,a curly-haired child,curly-haired children,descriptor_noun
body_type,hair,curly-haired,(none),reviewed,dad,dads,male,a curly-haired dad,curly-haired dads,descriptor_noun
body_type,hair,curly-haired,(none),reviewed,daughter,daughters,female,a curly-haired daughter,curly-haired daughters,descriptor_noun
body_type,hair,curly-haired,(none),reviewed,father,fathers,male,a curly-haired father,curly-haired fathers,descriptor_noun
body_type,hair,curly-haired,(none),reviewed,girl,girls,female,a curly-haired girl,curly-haired girls,descriptor_noun
body_type,hair,curly-haired,(none),reviewed,grandfather,grandfathers,male,a curly-haired grandfather,curly-haired grandfathers,descriptor_noun
body_type,hair,curly-haired,(none),reviewed,grandma,grandmas,female,a curly-haired grandma,curly-haired grandmas,descriptor_noun
body_type,hair,curly-haired,(none),reviewed,grandmother,grandmothers,female,a curly-haired grandmother,curly-haired grandmothers,descriptor_noun
body_type,hair,curly-haired,(none),reviewed,grandpa,grandpas,male,a curly-haired grandpa,curly-haired grandpas,descriptor_noun
body_type,hair,curly-haired,(none),reviewed,grandparent,grandparents,neutral,a curly-haired grandparent,curly-haired grandparents,descriptor_noun
body_type,hair,curly-haired,(none),reviewed,guy,guys,male,a curly-haired guy,curly-haired guys,descriptor_noun
body_type,hair,curly-haired,(none),reviewed,husband,husbands,male,a curly-haired husband,curly-haired husbands,descriptor_noun
body_type,hair,curly-haired,(none),reviewed,individual,individuals,neutral,a curly-haired individual,curly-haired individuals,descriptor_noun
body_type,hair,curly-haired,(none),reviewed,kid,kids,neutral,a curly-haired kid,curly-haired kids,descriptor_noun
body_type,hair,curly-haired,(none),reviewed,lady,ladies,female,a curly-haired lady,curly-haired ladies,descriptor_noun
body_type,hair,curly-haired,(none),reviewed,man,men,male,a curly-haired man,curly-haired men,descriptor_noun
body_type,hair,curly-haired,(none),reviewed,mom,moms,female,a curly-haired mom,curly-haired moms,descriptor_noun
body_type,hair,curly-haired,(none),reviewed,mother,mothers,female,a curly-haired mother,curly-haired mothers,descriptor_noun
body_type,hair,curly-haired,(none),reviewed,parent,parents,neutral,a curly-haired parent,curly-haired parents,descriptor_noun
body_type,hair,curly-haired,(none),reviewed,person,people,neutral,a curly-haired person,curly-haired people,descriptor_noun
body_type,hair,curly-haired,(none),reviewed,sibling,siblings,neutral,a curly-haired sibling,curly-haired siblings,descriptor_noun
body_type,hair,curly-haired,(none),reviewed,sister,sisters,female,a curly-haired sister,curly-haired sisters,descriptor_noun
body_type,hair,curly-haired,(none),reviewed,son,sons,male,a curly-haired son,curly-haired sons,descriptor_noun
body_type,hair,curly-haired,(none),reviewed,spouse,spouses,neutral,a curly-haired spouse,curly-haired spouses,descriptor_noun
body_type,hair,curly-haired,(none),reviewed,veteran,veterans,neutral,a curly-haired veteran,curly-haired veterans,descriptor_noun
body_type,hair,curly-haired,(none),reviewed,wife,wives,female,a curly-haired wife,curly-haired wives,descriptor_noun
body_type,hair,curly-haired,(none),reviewed,woman,women,female,a curly-haired woman,curly-haired women,descriptor_noun
body_type,hair,dark-haired,(none),reviewed,(none),(none),(none),dark-haired,dark-haired,descriptor
body_type,hair,dark-haired,(none),reviewed,boy,boys,male,a dark-haired boy,dark-haired boys,descriptor_noun
body_type,hair,dark-haired,(none),reviewed,bro,bros,male,a dark-haired bro,dark-haired bros,descriptor_noun
body_type,hair,dark-haired,(none),reviewed,brother,brothers,male,a dark-haired brother,dark-haired brothers,descriptor_noun
body_type,hair,dark-haired,(none),reviewed,child,children,neutral,a dark-haired child,dark-haired children,descriptor_noun
body_type,hair,dark-haired,(none),reviewed,dad,dads,male,a dark-haired dad,dark-haired dads,descriptor_noun
body_type,hair,dark-haired,(none),reviewed,daughter,daughters,female,a dark-haired daughter,dark-haired daughters,descriptor_noun
body_type,hair,dark-haired,(none),reviewed,father,fathers,male,a dark-haired father,dark-haired fathers,descriptor_noun
body_type,hair,dark-haired,(none),reviewed,girl,girls,female,a dark-haired girl,dark-haired girls,descriptor_noun
body_type,hair,dark-haired,(none),reviewed,grandfather,grandfathers,male,a dark-haired grandfather,dark-haired grandfathers,descriptor_noun
body_type,hair,dark-haired,(none),reviewed,grandma,grandmas,female,a dark-haired grandma,dark-haired grandmas,descriptor_noun
body_type,hair,dark-haired,(none),reviewed,grandmother,grandmothers,female,a dark-haired grandmother,dark-haired grandmothers,descriptor_noun
body_type,hair,dark-haired,(none),reviewed,grandpa,grandpas,male,a dark-haired grandpa,dark-haired grandpas,descriptor_noun
body_type,hair,dark-haired,(none),reviewed,grandparent,grandparents,neutral,a dark-haired grandparent,dark-haired grandparents,descriptor_noun
body_type,hair,dark-haired,(none),reviewed,guy,guys,male,a dark-haired guy,dark-haired guys,descriptor_noun
body_type,hair,dark-haired,(none),reviewed,husband,husbands,male,a dark-haired husband,dark-haired husbands,descriptor_noun
body_type,hair,dark-haired,(none),reviewed,individual,individuals,neutral,a dark-haired individual,dark-haired individuals,descriptor_noun
body_type,hair,dark-haired,(none),reviewed,kid,kids,neutral,a dark-haired kid,dark-haired kids,descriptor_noun
body_type,hair,dark-haired,(none),reviewed,lady,ladies,female,a dark-haired lady,dark-haired ladies,descriptor_noun
body_type,hair,dark-haired,(none),reviewed,man,men,male,a dark-haired man,dark-haired men,descriptor_noun
body_type,hair,dark-haired,(none),reviewed,mom,moms,female,a dark-haired mom,dark-haired moms,descriptor_noun
body_type,hair,dark-haired,(none),reviewed,mother,mothers,female,a dark-haired mother,dark-haired mothers,descriptor_noun
body_type,hair,dark-haired,(none),reviewed,parent,parents,neutral,a dark-haired parent,dark-haired parents,descriptor_noun
body_type,hair,dark-haired,(none),reviewed,person,people,neutral,a dark-haired person,dark-haired people,descriptor_noun
body_type,hair,dark-haired,(none),reviewed,sibling,siblings,neutral,a dark-haired sibling,dark-haired siblings,descriptor_noun
body_type,hair,dark-haired,(none),reviewed,sister,sisters,female,a dark-haired sister,dark-haired sisters,descriptor_noun
body_type,hair,dark-haired,(none),reviewed,son,sons,male,a dark-haired son,dark-haired sons,descriptor_noun
body_type,hair,dark-haired,(none),reviewed,spouse,spouses,neutral,a dark-haired spouse,dark-haired spouses,descriptor_noun
body_type,hair,dark-haired,(none),reviewed,veteran,veterans,neutral,a dark-haired veteran,dark-haired veterans,descriptor_noun
body_type,hair,dark-haired,(none),reviewed,wife,wives,female,a dark-haired wife,dark-haired wives,descriptor_noun
body_type,hair,dark-haired,(none),reviewed,woman,women,female,a dark-haired woman,dark-haired women,descriptor_noun
body_type,hair,dreadlocked,(none),polarizing,(none),(none),(none),dreadlocked,dreadlocked,descriptor
body_type,hair,dreadlocked,(none),polarizing,boy,boys,male,a dreadlocked boy,dreadlocked boys,descriptor_noun
body_type,hair,dreadlocked,(none),polarizing,bro,bros,male,a dreadlocked bro,dreadlocked bros,descriptor_noun
body_type,hair,dreadlocked,(none),polarizing,brother,brothers,male,a dreadlocked brother,dreadlocked brothers,descriptor_noun
body_type,hair,dreadlocked,(none),polarizing,child,children,neutral,a dreadlocked child,dreadlocked children,descriptor_noun
body_type,hair,dreadlocked,(none),polarizing,dad,dads,male,a dreadlocked dad,dreadlocked dads,descriptor_noun
body_type,hair,dreadlocked,(none),polarizing,daughter,daughters,female,a dreadlocked daughter,dreadlocked daughters,descriptor_noun
body_type,hair,dreadlocked,(none),polarizing,father,fathers,male,a dreadlocked father,dreadlocked fathers,descriptor_noun
body_type,hair,dreadlocked,(none),polarizing,girl,girls,female,a dreadlocked girl,dreadlocked girls,descriptor_noun
body_type,hair,dreadlocked,(none),polarizing,grandfather,grandfathers,male,a dreadlocked grandfather,dreadlocked grandfathers,descriptor_noun
body_type,hair,dreadlocked,(none),polarizing,grandma,grandmas,female,a dreadlocked grandma,dreadlocked grandmas,descriptor_noun
body_type,hair,dreadlocked,(none),polarizing,grandmother,grandmothers,female,a dreadlocked grandmother,dreadlocked grandmothers,descriptor_noun
body_type,hair,dreadlocked,(none),polarizing,grandpa,grandpas,male,a dreadlocked grandpa,dreadlocked grandpas,descriptor_noun
body_type,hair,dreadlocked,(none),polarizing,grandparent,grandparents,neutral,a dreadlocked grandparent,dreadlocked grandparents,descriptor_noun
body_type,hair,dreadlocked,(none),polarizing,guy,guys,male,a dreadlocked guy,dreadlocked guys,descriptor_noun
body_type,hair,dreadlocked,(none),polarizing,husband,husbands,male,a dreadlocked husband,dreadlocked husbands,descriptor_noun
body_type,hair,dreadlocked,(none),polarizing,individual,individuals,neutral,a dreadlocked individual,dreadlocked individuals,descriptor_noun
body_type,hair,dreadlocked,(none),polarizing,kid,kids,neutral,a dreadlocked kid,dreadlocked kids,descriptor_noun
body_type,hair,dreadlocked,(none),polarizing,lady,ladies,female,a dreadlocked lady,dreadlocked ladies,descriptor_noun
body_type,hair,dreadlocked,(none),polarizing,man,men,male,a dreadlocked man,dreadlocked men,descriptor_noun
body_type,hair,dreadlocked,(none),polarizing,mom,moms,female,a dreadlocked mom,dreadlocked moms,descriptor_noun
body_type,hair,dreadlocked,(none),polarizing,mother,mothers,female,a dreadlocked mother,dreadlocked mothers,descriptor_noun
body_type,hair,dreadlocked,(none),polarizing,parent,parents,neutral,a dreadlocked parent,dreadlocked parents,descriptor_noun
body_type,hair,dreadlocked,(none),polarizing,person,people,neutral,a dreadlocked person,dreadlocked people,descriptor_noun
body_type,hair,dreadlocked,(none),polarizing,sibling,siblings,neutral,a dreadlocked sibling,dreadlocked siblings,descriptor_noun
body_type,hair,dreadlocked,(none),polarizing,sister,sisters,female,a dreadlocked sister,dreadlocked sisters,descriptor_noun
body_type,hair,dreadlocked,(none),polarizing,son,sons,male,a dreadlocked son,dreadlocked sons,descriptor_noun
body_type,hair,dreadlocked,(none),polarizing,spouse,spouses,neutral,a dreadlocked spouse,dreadlocked spouses,descriptor_noun
body_type,hair,dreadlocked,(none),polarizing,veteran,veterans,neutral,a dreadlocked veteran,dreadlocked veterans,descriptor_noun
body_type,hair,dreadlocked,(none),polarizing,wife,wives,female,a dreadlocked wife,dreadlocked wives,descriptor_noun
body_type,hair,dreadlocked,(none),polarizing,woman,women,female,a dreadlocked woman,dreadlocked women,descriptor_noun
body_type,hair,goateed,(none),no_data,(none),(none),(none),goateed,goateed,descriptor
body_type,hair,goateed,(none),no_data,boy,boys,male,a goateed boy,goateed boys,descriptor_noun
body_type,hair,goateed,(none),no_data,bro,bros,male,a goateed bro,goateed bros,descriptor_noun
body_type,hair,goateed,(none),no_data,brother,brothers,male,a goateed brother,goateed brothers,descriptor_noun
body_type,hair,goateed,(none),no_data,child,children,neutral,a goateed child,goateed children,descriptor_noun
body_type,hair,goateed,(none),no_data,dad,dads,male,a goateed dad,goateed dads,descriptor_noun
body_type,hair,goateed,(none),no_data,daughter,daughters,female,a goateed daughter,goateed daughters,descriptor_noun
body_type,hair,goateed,(none),no_data,father,fathers,male,a goateed father,goateed fathers,descriptor_noun
body_type,hair,goateed,(none),no_data,girl,girls,female,a goateed girl,goateed girls,descriptor_noun
body_type,hair,goateed,(none),no_data,grandfather,grandfathers,male,a goateed grandfather,goateed grandfathers,descriptor_noun
body_type,hair,goateed,(none),no_data,grandma,grandmas,female,a goateed grandma,goateed grandmas,descriptor_noun
body_type,hair,goateed,(none),no_data,grandmother,grandmothers,female,a goateed grandmother,goateed grandmothers,descriptor_noun
body_type,hair,goateed,(none),no_data,grandpa,grandpas,male,a goateed grandpa,goateed grandpas,descriptor_noun
body_type,hair,goateed,(none),no_data,grandparent,grandparents,neutral,a goateed grandparent,goateed grandparents,descriptor_noun
body_type,hair,goateed,(none),no_data,guy,guys,male,a goateed guy,goateed guys,descriptor_noun
body_type,hair,goateed,(none),no_data,husband,husbands,male,a goateed husband,goateed husbands,descriptor_noun
body_type,hair,goateed,(none),no_data,individual,individuals,neutral,a goateed individual,goateed individuals,descriptor_noun
body_type,hair,goateed,(none),no_data,kid,kids,neutral,a goateed kid,goateed kids,descriptor_noun
body_type,hair,goateed,(none),no_data,lady,ladies,female,a goateed lady,goateed ladies,descriptor_noun
body_type,hair,goateed,(none),no_data,man,men,male,a goateed man,goateed men,descriptor_noun
body_type,hair,goateed,(none),no_data,mom,moms,female,a goateed mom,goateed moms,descriptor_noun
body_type,hair,goateed,(none),no_data,mother,mothers,female,a goateed mother,goateed mothers,descriptor_noun
body_type,hair,goateed,(none),no_data,parent,parents,neutral,a goateed parent,goateed parents,descriptor_noun
body_type,hair,goateed,(none),no_data,person,people,neutral,a goateed person,goateed people,descriptor_noun
body_type,hair,goateed,(none),no_data,sibling,siblings,neutral,a goateed sibling,goateed siblings,descriptor_noun
body_type,hair,goateed,(none),no_data,sister,sisters,female,a goateed sister,goateed sisters,descriptor_noun
body_type,hair,goateed,(none),no_data,son,sons,male,a goateed son,goateed sons,descriptor_noun
body_type,hair,goateed,(none),no_data,spouse,spouses,neutral,a goateed spouse,goateed spouses,descriptor_noun
body_type,hair,goateed,(none),no_data,veteran,veterans,neutral,a goateed veteran,goateed veterans,descriptor_noun
body_type,hair,goateed,(none),no_data,wife,wives,female,a goateed wife,goateed wives,descriptor_noun
body_type,hair,goateed,(none),no_data,woman,women,female,a goateed woman,goateed women,descriptor_noun
body_type,hair,graying,(none),no_data,(none),(none),(none),graying,graying,descriptor
body_type,hair,graying,(none),no_data,boy,boys,male,a graying boy,graying boys,descriptor_noun
body_type,hair,graying,(none),no_data,bro,bros,male,a graying bro,graying bros,descriptor_noun
body_type,hair,graying,(none),no_data,brother,brothers,male,a graying brother,graying brothers,descriptor_noun
body_type,hair,graying,(none),no_data,child,children,neutral,a graying child,graying children,descriptor_noun
body_type,hair,graying,(none),no_data,dad,dads,male,a graying dad,graying dads,descriptor_noun
body_type,hair,graying,(none),no_data,daughter,daughters,female,a graying daughter,graying daughters,descriptor_noun
body_type,hair,graying,(none),no_data,father,fathers,male,a graying father,graying fathers,descriptor_noun
body_type,hair,graying,(none),no_data,girl,girls,female,a graying girl,graying girls,descriptor_noun
body_type,hair,graying,(none),no_data,grandfather,grandfathers,male,a graying grandfather,graying grandfathers,descriptor_noun
body_type,hair,graying,(none),no_data,grandma,grandmas,female,a graying grandma,graying grandmas,descriptor_noun
body_type,hair,graying,(none),no_data,grandmother,grandmothers,female,a graying grandmother,graying grandmothers,descriptor_noun
body_type,hair,graying,(none),no_data,grandpa,grandpas,male,a graying grandpa,graying grandpas,descriptor_noun
body_type,hair,graying,(none),no_data,grandparent,grandparents,neutral,a graying grandparent,graying grandparents,descriptor_noun
body_type,hair,graying,(none),no_data,guy,guys,male,a graying guy,graying guys,descriptor_noun
body_type,hair,graying,(none),no_data,husband,husbands,male,a graying husband,graying husbands,descriptor_noun
body_type,hair,graying,(none),no_data,individual,individuals,neutral,a graying individual,graying individuals,descriptor_noun
body_type,hair,graying,(none),no_data,kid,kids,neutral,a graying kid,graying kids,descriptor_noun
body_type,hair,graying,(none),no_data,lady,ladies,female,a graying lady,graying ladies,descriptor_noun
body_type,hair,graying,(none),no_data,man,men,male,a graying man,graying men,descriptor_noun
body_type,hair,graying,(none),no_data,mom,moms,female,a graying mom,graying moms,descriptor_noun
body_type,hair,graying,(none),no_data,mother,mothers,female,a graying mother,graying mothers,descriptor_noun
body_type,hair,graying,(none),no_data,parent,parents,neutral,a graying parent,graying parents,descriptor_noun
body_type,hair,graying,(none),no_data,person,people,neutral,a graying person,graying people,descriptor_noun
body_type,hair,graying,(none),no_data,sibling,siblings,neutral,a graying sibling,graying siblings,descriptor_noun
body_type,hair,graying,(none),no_data,sister,sisters,female,a graying sister,graying sisters,descriptor_noun
body_type,hair,graying,(none),no_data,son,sons,male,a graying son,graying sons,descriptor_noun
body_type,hair,graying,(none),no_data,spouse,spouses,neutral,a graying spouse,graying spouses,descriptor_noun
body_type,hair,graying,(none),no_data,veteran,veterans,neutral,a graying veteran,graying veterans,descriptor_noun
body_type,hair,graying,(none),no_data,wife,wives,female,a graying wife,graying wives,descriptor_noun
body_type,hair,graying,(none),no_data,woman,women,female,a graying woman,graying women,descriptor_noun
body_type,hair,light-haired,(none),reviewed,(none),(none),(none),light-haired,light-haired,descriptor
body_type,hair,light-haired,(none),reviewed,boy,boys,male,a light-haired boy,light-haired boys,descriptor_noun
body_type,hair,light-haired,(none),reviewed,bro,bros,male,a light-haired bro,light-haired bros,descriptor_noun
body_type,hair,light-haired,(none),reviewed,brother,brothers,male,a light-haired brother,light-haired brothers,descriptor_noun
body_type,hair,light-haired,(none),reviewed,child,children,neutral,a light-haired child,light-haired children,descriptor_noun
body_type,hair,light-haired,(none),reviewed,dad,dads,male,a light-haired dad,light-haired dads,descriptor_noun
body_type,hair,light-haired,(none),reviewed,daughter,daughters,female,a light-haired daughter,light-haired daughters,descriptor_noun
body_type,hair,light-haired,(none),reviewed,father,fathers,male,a light-haired father,light-haired fathers,descriptor_noun
body_type,hair,light-haired,(none),reviewed,girl,girls,female,a light-haired girl,light-haired girls,descriptor_noun
body_type,hair,light-haired,(none),reviewed,grandfather,grandfathers,male,a light-haired grandfather,light-haired grandfathers,descriptor_noun
body_type,hair,light-haired,(none),reviewed,grandma,grandmas,female,a light-haired grandma,light-haired grandmas,descriptor_noun
body_type,hair,light-haired,(none),reviewed,grandmother,grandmothers,female,a light-haired grandmother,light-haired grandmothers,descriptor_noun
body_type,hair,light-haired,(none),reviewed,grandpa,grandpas,male,a light-haired grandpa,light-haired grandpas,descriptor_noun
body_type,hair,light-haired,(none),reviewed,grandparent,grandparents,neutral,a light-haired grandparent,light-haired grandparents,descriptor_noun
body_type,hair,light-haired,(none),reviewed,guy,guys,male,a light-haired guy,light-haired guys,descriptor_noun
body_type,hair,light-haired,(none),reviewed,husband,husbands,male,a light-haired husband,light-haired husbands,descriptor_noun
body_type,hair,light-haired,(none),reviewed,individual,individuals,neutral,a light-haired individual,light-haired individuals,descriptor_noun
body_type,hair,light-haired,(none),reviewed,kid,kids,neutral,a light-haired kid,light-haired kids,descriptor_noun
body_type,hair,light-haired,(none),reviewed,lady,ladies,female,a light-haired lady,light-haired ladies,descriptor_noun
body_type,hair,light-haired,(none),reviewed,man,men,male,a light-haired man,light-haired men,descriptor_noun
body_type,hair,light-haired,(none),reviewed,mom,moms,female,a light-haired mom,light-haired moms,descriptor_noun
body_type,hair,light-haired,(none),reviewed,mother,mothers,female,a light-haired mother,light-haired mothers,descriptor_noun
body_type,hair,light-haired,(none),reviewed,parent,parents,neutral,a light-haired parent,light-haired parents,descriptor_noun
body_type,hair,light-haired,(none),reviewed,person,people,neutral,a light-haired person,light-haired people,descriptor_noun
body_type,hair,light-haired,(none),reviewed,sibling,siblings,neutral,a light-haired sibling,light-haired siblings,descriptor_noun
body_type,hair,light-haired,(none),reviewed,sister,sisters,female,a light-haired sister,light-haired sisters,descriptor_noun
body_type,hair,light-haired,(none),reviewed,son,sons,male,a light-haired son,light-haired sons,descriptor_noun
body_type,hair,light-haired,(none),reviewed,spouse,spouses,neutral,a light-haired spouse,light-haired spouses,descriptor_noun
body_type,hair,light-haired,(none),reviewed,veteran,veterans,neutral,a light-haired veteran,light-haired veterans,descriptor_noun
body_type,hair,light-haired,(none),reviewed,wife,wives,female,a light-haired wife,light-haired wives,descriptor_noun
body_type,hair,light-haired,(none),reviewed,woman,women,female,a light-haired woman,light-haired women,descriptor_noun
body_type,hair,mustachioed,(none),no_data,(none),(none),(none),mustachioed,mustachioed,descriptor
body_type,hair,mustachioed,(none),no_data,boy,boys,male,a mustachioed boy,mustachioed boys,descriptor_noun
body_type,hair,mustachioed,(none),no_data,bro,bros,male,a mustachioed bro,mustachioed bros,descriptor_noun
body_type,hair,mustachioed,(none),no_data,brother,brothers,male,a mustachioed brother,mustachioed brothers,descriptor_noun
body_type,hair,mustachioed,(none),no_data,child,children,neutral,a mustachioed child,mustachioed children,descriptor_noun
body_type,hair,mustachioed,(none),no_data,dad,dads,male,a mustachioed dad,mustachioed dads,descriptor_noun
body_type,hair,mustachioed,(none),no_data,daughter,daughters,female,a mustachioed daughter,mustachioed daughters,descriptor_noun
body_type,hair,mustachioed,(none),no_data,father,fathers,male,a mustachioed father,mustachioed fathers,descriptor_noun
body_type,hair,mustachioed,(none),no_data,girl,girls,female,a mustachioed girl,mustachioed girls,descriptor_noun
body_type,hair,mustachioed,(none),no_data,grandfather,grandfathers,male,a mustachioed grandfather,mustachioed grandfathers,descriptor_noun
body_type,hair,mustachioed,(none),no_data,grandma,grandmas,female,a mustachioed grandma,mustachioed grandmas,descriptor_noun
body_type,hair,mustachioed,(none),no_data,grandmother,grandmothers,female,a mustachioed grandmother,mustachioed grandmothers,descriptor_noun
body_type,hair,mustachioed,(none),no_data,grandpa,grandpas,male,a mustachioed grandpa,mustachioed grandpas,descriptor_noun
body_type,hair,mustachioed,(none),no_data,grandparent,grandparents,neutral,a mustachioed grandparent,mustachioed grandparents,descriptor_noun
body_type,hair,mustachioed,(none),no_data,guy,guys,male,a mustachioed guy,mustachioed guys,descriptor_noun
body_type,hair,mustachioed,(none),no_data,husband,husbands,male,a mustachioed husband,mustachioed husbands,descriptor_noun
body_type,hair,mustachioed,(none),no_data,individual,individuals,neutral,a mustachioed individual,mustachioed individuals,descriptor_noun
body_type,hair,mustachioed,(none),no_data,kid,kids,neutral,a mustachioed kid,mustachioed kids,descriptor_noun
body_type,hair,mustachioed,(none),no_data,lady,ladies,female,a mustachioed lady,mustachioed ladies,descriptor_noun
body_type,hair,mustachioed,(none),no_data,man,men,male,a mustachioed man,mustachioed men,descriptor_noun
body_type,hair,mustachioed,(none),no_data,mom,moms,female,a mustachioed mom,mustachioed moms,descriptor_noun
